datetime,portfolio_value,cash,price
2023-01-01,100000.0,100000.0,16543.67
2023-01-02,99946.14126587388,47905.265208747514,16620.6
2023-01-03,99993.91043229893,75111.51337387833,16665.79
2023-01-04,99937.81725046711,61006.637398788866,16675.82
2023-01-05,100266.30790287079,68321.08952045623,16857.23
2023-01-06,100215.5964844519,68321.08952045623,16830.47
2023-01-07,100367.24247905574,64720.44530167305,16952.44
2023-01-08,100356.91796092497,64720.44530167305,16947.53
2023-01-09,100653.75120497259,66758.38453492378,17134.66
2023-01-10,100748.01127326854,66758.38453492378,17182.31
2023-01-11,101179.7790129708,66078.19982466103,17441.05
2023-01-12,102190.72011124642,66078.19982466103,17943.36
2023-01-13,103935.23096652524,67958.40154789611,18859.87
2023-01-14,105775.41078759138,49263.06572982511,19902.73
2023-01-15,108650.86011987031,67754.56826913715,20967.61
2023-01-16,108355.08901516054,73430.26209376457,20864.83
2023-01-17,108785.49898557688,70172.76958038229,21180.71
2023-01-18,108724.90200249988,70172.76958038229,21147.47
2023-01-19,107826.12599537484,72216.59965360948,20716.97
2023-01-21,111098.44457465608,70135.82092288573,22685.44
2023-01-23,111075.88145934475,111075.88145934475,22697.89
2023-01-25,110954.26929073644,53641.17625686755,22609.44
2023-01-26,112033.21149202448,112033.21149202448,23067.7
2023-01-27,112033.21149202448,112033.21149202448,23025.32
2023-01-28,112033.21149202448,112033.21149202448,23062.61
2023-01-29,112033.21149202448,112033.21149202448,23027.54
2023-01-30,112033.21149202448,112033.21149202448,23736.5
2023-01-31,112033.21149202448,112033.21149202448,22822.1
2023-02-01,112033.21149202448,112033.21149202448,23133.74
2023-02-02,112033.21149202448,112033.21149202448,23737.43
2023-02-03,112033.21149202448,112033.21149202448,23545.29
2023-02-04,112033.21149202448,112033.21149202448,23424.69
2023-02-05,112033.21149202448,112033.21149202448,23316.76
2023-02-06,111961.9598875555,54886.38747207476,22932.0
2023-02-07,111408.19394062142,83203.56952717817,22749.29
2023-02-08,111948.29857533978,67886.9724529124,23257.0
2023-02-09,111406.11900318015,67886.9724529124,22970.82
2023-02-10,109082.88382684253,75703.88655876655,21803.87
2023-02-11,108725.0214124512,69825.29238985873,21628.79
2023-02-12,109025.46738677449,72474.91906480024,21856.65
2023-02-13,108897.13623455178,72474.91906480024,21779.91
2023-02-14,108788.15491987238,71260.16051679828,21771.78
2023-02-15,109406.12642712425,71790.70481241024,22186.22
2023-02-16,113051.27318979886,71790.70481241024,24336.19
2023-02-17,111603.81637902425,111603.81637902425,23471.26
2023-02-18,111603.81637902425,111603.81637902425,24557.55
2023-02-19,111603.81637902425,111603.81637902425,24623.16
2023-02-20,111603.81637902425,111603.81637902425,24310.99
2023-02-21,111603.81637902425,111603.81637902425,24832.08
2023-02-22,111603.81637902425,111603.81637902425,24439.61
2023-02-23,111603.81637902425,111603.81637902425,24188.75
2023-02-24,111603.81637902425,111603.81637902425,23935.71
2023-02-25,111603.81637902425,111603.81637902425,23179.84
2023-02-26,111603.81637902425,111603.81637902425,23153.13
2023-02-27,111603.81637902425,111603.81637902425,23550.9
2023-02-28,111603.81637902425,111603.81637902425,23479.8
2023-03-01,111603.81637902425,111603.81637902425,23143.73
2023-03-02,111603.81637902425,111603.81637902425,23630.74
2023-03-03,111603.81637902425,111603.81637902425,23468.77
2023-03-04,111509.0601655852,56476.400505551384,22340.97
2023-03-05,111415.5883328626,82159.68672888585,22341.83
2023-03-06,111436.56739564863,68716.02930573843,22426.78
2023-03-07,111320.88647543202,75740.91847696826,22417.37
2023-03-08,110878.04257612096,72027.70501863495,22198.27
2023-03-09,109925.31009224849,73424.32045620757,21716.73
2023-03-10,107547.8720320971,71890.37093385698,20359.9
2023-03-11,107081.45398340988,70224.84187190332,20150.72
2023-03-12,107522.35663187892,70611.5797420922,20446.7
2023-03-13,110429.86084363237,70611.5797420922,22057.31
2023-03-14,114079.56884763823,61522.31052824571,24143.51
2023-03-15,115142.6155298072,72355.30409769561,24693.0
2023-03-16,114389.70925311474,72355.30409769561,24258.49
2023-03-27,120663.51041515227,63958.00900493857,27958.23
2023-03-28,118867.61061998058,76672.9636554488,27124.59
2023-04-03,120377.32040196835,66236.84078719675,28166.58
2023-04-05,120373.16855123008,66236.84078719675,28164.42
2023-04-06,120274.12482848152,75207.88540727655,28180.17
2023-04-07,119944.20777833431,69068.42347917611,28033.83
2023-04-08,119624.81897152177,84010.8088396936,27905.77
2023-04-09,119569.01260068227,76001.55806714008,27937.74
2023-04-10,120126.8057304826,120126.8057304826,28324.26
2023-04-11,120126.8057304826,120126.8057304826,29657.81
2023-04-12,120126.8057304826,120126.8057304826,30215.37
2023-04-13,120126.8057304826,120126.8057304826,29889.73
2023-04-14,120126.8057304826,120126.8057304826,30379.01
2023-04-15,120126.8057304826,120126.8057304826,30470.0
2023-04-16,120126.8057304826,120126.8057304826,30290.65
2023-04-17,120126.8057304826,120126.8057304826,30305.25
2023-04-18,120126.8057304826,120126.8057304826,29430.01
2023-04-19,120126.8057304826,120126.8057304826,30371.69
2023-04-20,120126.8057304826,120126.8057304826,28798.48
2023-04-21,120044.92785559615,59038.93029283858,28234.0
2023-04-22,117832.74359020789,79064.33840569029,27264.84
2023-04-23,118488.50835950178,63651.23192913429,27809.25
2023-04-24,118040.70782174646,63651.23192913429,27582.16
2023-04-25,117811.445520998,84920.40148422837,27514.99
2023-04-26,118661.86847963423,59232.77034363242,28317.02
2023-04-27,118816.83692639743,59232.77034363242,28390.86
2023-04-28,121025.59319466476,121025.59319466476,29491.82
2023-04-29,121025.59319466476,121025.59319466476,29315.72
2023-04-30,121025.59319466476,121025.59319466476,29230.46
2023-05-01,121025.59319466476,121025.59319466476,29252.66
2023-05-02,121025.59319466476,121025.59319466476,28047.61
2023-05-03,121025.59319466476,121025.59319466476,28667.54
2023-05-04,121025.59319466476,121025.59319466476,29028.02
2023-05-05,121025.59319466476,121025.59319466476,28842.28
2023-05-06,121025.59319466476,121025.59319466476,29483.08
2023-05-07,121025.59319466476,121025.59319466476,28856.06
2023-05-08,121025.59319466476,121025.59319466476,28391.15
2023-05-09,121025.59319466476,121025.59319466476,27657.89
2023-05-10,121025.59319466476,121025.59319466476,27627.64
2023-05-16,121025.59319466476,121025.59319466476,27174.27
2023-05-17,121025.59319466476,121025.59319466476,27036.43
2023-05-18,121025.59319466476,121025.59319466476,27414.46
2023-05-19,120964.2156097969,59609.52156252089,26829.99
2023-05-20,120945.41795434627,90020.46573937304,26871.02
2023-05-21,121180.53716080492,121180.53716080492,27105.36
2023-05-22,121180.53716080492,121180.53716080492,26744.12
2023-05-23,121180.53716080492,121180.53716080492,26851.08
2023-05-24,121180.53716080492,121180.53716080492,27217.04
2023-05-25,121116.51568004151,60396.38709773333,26327.58
2023-05-26,121361.20127066987,89895.39222012844,26479.46
